Brand,Description,Price,Size,Volume,Classification,PurchasePrice,VendorNumber,VendorName
58,Gekkeikan Black & Gold Sake,12.99,750mL,750,1,9.28,8320,SHAW ROSS INT L IMP LTD    
62,Herradura Silver Tequila,36.99,750mL,750,1,28.67,1128,BROWN-FORMAN CORP          
63,Herradura Reposado Tequila,38.99,750mL,750,1,30.46,1128,BROWN-FORMAN CORP          
72,No. 3 London Dry Gin,34.99,750mL,750,1,26.11,9165,ULTRA BEVERAGE COMPANY LLP 
75,Three Olives Tomato Vodka,14.99,750mL,750,1,10.94,7245,PROXIMO SPIRITS INC.       
77,Three Olives Espresso Vodka,12.99,750mL,750,1,10.39,7245,PROXIMO SPIRITS INC.       
79,Three Olives Loopy Vodka,14.99,750mL,750,1,9.62,7245,PROXIMO SPIRITS INC.       
115,Belvedere Vodka,27.99,1000mL,1000,1,21.37,8112,MOET HENNESSY USA INC      
126,Grey Goose Vodka,32.99,1000mL,1000,1,20.14,480,BACARDI USA INC            
168,Three Olives Strawberry,12.99,750mL,750,1,8.95,7245,PROXIMO SPIRITS INC.       
171,Gentleman Jack,49.99,1750mL,1750,1,36.76,1128,BROWN-FORMAN CORP          
173,Hornitos Reposado VAP,22.99,750mL,750,1,14.7,12546,JIM BEAM BRANDS COMPANY    
175,1800 Anejo Tequila,36.99,750mL,750,1,26.8,7245,PROXIMO SPIRITS INC.       
178,Wild Turkey Russell's RSV,29.99,750mL,750,1,20.76,11567,CAMPARI AMERICA            
192,Milagro Anejo Tequila,35.99,750mL,750,1,27.68,3664,WILLIAM GRANT & SONS INC   
211,Cold River Gin,24.99,750mL,750,1,19.83,4425,MARTIGNETTI COMPANIES
229,Sauza Gold VAP,12.99,750mL,750,1,10.39,12546,JIM BEAM BRANDS COMPANY    
233,Tullamore Dew 12 Yr Old,46.99,750mL,750,1,30.21,3664,WILLIAM GRANT & SONS INC   
247,Gran Patron Platinum Tequil,199.99,750mL,750,1,156.24,9165,ULTRA BEVERAGE COMPANY LLP 
254,DeKuyper Root Beer Schnapps,10.99,1000mL,1000,1,8.79,12546,JIM BEAM BRANDS COMPANY    
261,Svedka Citron Vodka,12.99,1000mL,1000,1,9.99,1392,CONSTELLATION BRANDS INC   
273,Sauza Extra Gold Tequila,21.99,1750mL,1750,1,17.31,12546,JIM BEAM BRANDS COMPANY    
283,Milagro Tequila Reposado SBR,61.99,750mL,750,1,39.69,3664,WILLIAM GRANT & SONS INC   
284,Milagro Tequila Anejo SBR,77.99,750mL,750,1,53.43,3664,WILLIAM GRANT & SONS INC   
294,Old Mexico Gold Tequila,8.49,1000mL,1000,1,6.79,9552,M S WALKER INC             
305,Crown Royal Canadian Whisky,27.99,1000mL,1000,1,22.21,3960,DIAGEO NORTH AMERICA INC   
323,Tequila Rose Strawberry Gift,13.99,750mL,750,1,10.6,5992,MCCORMICK DISTILLING CO    
344,Punt e Mes Sweet Vermouth,19.99,750mL,750,1,15.74,9165,ULTRA BEVERAGE COMPANY LLP 
361,Effen Cucumber Vodka,19.99,750mL,750,1,14.28,12546,JIM BEAM BRANDS COMPANY    
376,Aperol Liqueur,26.99,750mL,750,1,18.97,11567,CAMPARI AMERICA            
384,Ardbeg Corryvreckan Scotch,74.99,750mL,750,1,54.68,8112,MOET HENNESSY USA INC      
388,Smirnoff 80 Proof,14.49,1000mL,1000,1,11.41,3960,DIAGEO NORTH AMERICA INC   
408,Wild Turkey American Honey,16.99,750mL,750,1,12.97,11567,CAMPARI AMERICA            
415,Jose Cuervo Especial,20.99,1000mL,1000,1,13.04,7245,PROXIMO SPIRITS INC.       
419,Absolut Citron,21.99,1000mL,1000,1,15.99,17035,PERNOD RICARD USA          
425,Hennessy Paradis,799.99,750mL,750,1,620.15,8112,MOET HENNESSY USA INC      
426,Crystal Head Vodka,7.99,50mL,50,1,6.29,9165,ULTRA BEVERAGE COMPANY LLP 
435,Il Tramonto Limoncello,17.99,750mL,750,1,12.79,7153,PINE STATE TRADING CO      
438,Licor 43 Vanilla Liqueur,19.99,750mL,750,1,12.77,4425,MARTIGNETTI COMPANIES
443,St Germain Liqueur,33.99,750mL,750,1,24.45,480,BACARDI USA INC            
450,Vincent Van Gogh Double Esp,24.99,750mL,750,1,19.52,4425,MARTIGNETTI COMPANIES
463,Kirk & Sweeney 12Yr Old Rum,33.99,750mL,750,1,24.63,653,STATE WINE & SPIRITS   
482,Absolut 80 Proof,21.99,1000mL,1000,1,14.28,17035,PERNOD RICARD USA          
485,Seagrams 7 Crown,12.99,1000mL,1000,1,10.39,3960,DIAGEO NORTH AMERICA INC   
497,Capt Morgan Spiced Rum,19.99,1000mL,1000,1,14.7,3960,DIAGEO NORTH AMERICA INC   
508,Bacardi Superior Rum,12.99,1000mL,1000,1,9.77,480,BACARDI USA INC            
513,Ocean Vodka,28.99,750mL,750,1,23.01,9165,ULTRA BEVERAGE COMPANY LLP 
515,Hirsch Selection Bourbon,35.99,750mL,750,1,25.36,9165,ULTRA BEVERAGE COMPANY LLP 
525,El Tesoro Anejo Gold Tequil,39.99,750mL,750,1,31.0,12546,JIM BEAM BRANDS COMPANY    
536,Svedka Cherry Vodka,12.99,1000mL,1000,1,9.92,1392,CONSTELLATION BRANDS INC   
538,Amaretto DiSaronno,12.99,375mL,375,1,7.96,2555,DISARONNO INTERNATIONAL LLC
539,Bowman's Vodka,5.79,1000mL,1000,1,4.2,8004,SAZERAC CO INC             
543,Berkshire Mtn Ethereal Gin,31.99,750mL,750,1,22.72,9552,M S WALKER INC             
555,Art In The Age Sage,29.99,750mL,750,1,21.73,3664,WILLIAM GRANT & SONS INC   
567,Ketel One Vodka,28.99,1000mL,1000,1,20.71,3960,DIAGEO NORTH AMERICA INC   
592,The Glenlivet Archive 21 Yr,164.99,750mL,750,1,127.99,17035,PERNOD RICARD USA          
597,Baileys Irish Cream,27.99,1000mL,1000,1,21.53,3960,DIAGEO NORTH AMERICA INC   
605,Alate Kosher Wine,16.99,750mL,750,2,9.67,10754,PERFECTA WINES             
607,Schmitt Sohne Funf Rsl,8.49,750mL,750,2,5.74,9552,M S WALKER INC             
649,Sauza Tres Generaciones Pla,36.99,750mL,750,1,28.67,12546,JIM BEAM BRANDS COMPANY    
653,Dom de Canton Ginger Liqueur,29.99,750mL,750,1,21.73,3924,HEAVEN HILL DISTILLERIES   
661,Red Stag by Jim Beam,16.99,750mL,750,1,9.99,12546,JIM BEAM BRANDS COMPANY    
664,Ardbeg Uigeadail Scotch,78.99,750mL,750,1,54.01,8112,MOET HENNESSY USA INC      
676,Pinnacle Whipped Vodka,10.99,750mL,750,1,8.65,12546,JIM BEAM BRANDS COMPANY    
680,Midnight Moon Strawberry,18.99,750mL,750,1,13.86,9165,ULTRA BEVERAGE COMPANY LLP 
686,Midnight Moon Cherry,18.99,750mL,750,1,14.95,9165,ULTRA BEVERAGE COMPANY LLP 
693,Svedka Vanilla Vodka,12.99,1000mL,1000,1,9.35,1392,CONSTELLATION BRANDS INC   
742,DeKuyper Spearmint Schnapps,12.99,1000mL,1000,1,10.39,12546,JIM BEAM BRANDS COMPANY    
743,Angels Envy Whiskey,45.99,750mL,750,1,36.5,480,BACARDI USA INC            
753,LaBelle Winery Blueberry,19.99,750mL,750,2,13.79,90032,LABELLE VYDS AND WINERY    
757,Jim Beam Rye,17.99,750mL,750,1,13.95,12546,JIM BEAM BRANDS COMPANY    
758,Cointreau Liqueur,39.99,1000mL,1000,1,28.77,7239,REMY COINTREAU USA INC     
759,Bunnahabhain 12 Yr Single,49.99,750mL,750,1,37.0,9165,ULTRA BEVERAGE COMPANY LLP 
779,Svedka Raspberry Vodka,12.99,1000mL,1000,1,9.55,1392,CONSTELLATION BRANDS INC   
780,Svedka Clementine Vodka,12.99,1000mL,1000,1,9.84,1392,CONSTELLATION BRANDS INC   
782,Remy Martin 1738 Accord Ryl,54.99,750mL,750,1,35.15,7239,REMY COINTREAU USA INC     
802,Bacardi Torched Cherry Rum,11.99,750mL,750,1,7.99,480,BACARDI USA INC            
807,Jim Beam,19.99,1000mL,1000,1,13.23,12546,JIM BEAM BRANDS COMPANY    
809,Southern Comfort,17.99,1000mL,1000,1,13.13,1128,BROWN-FORMAN CORP          
810,Bacardi Black Razz,11.99,750mL,750,1,7.19,480,BACARDI USA INC            
811,Jack Daniels No 7 Black,29.99,1000mL,1000,1,19.84,1128,BROWN-FORMAN CORP          
812,Jagermeister Liqueur,22.99,1000mL,1000,1,17.03,3089,SIDNEY FRANK IMPORTING CO  
820,Hennessy VS Cognac,39.99,1000mL,1000,1,25.54,8112,MOET HENNESSY USA INC      
821,Grand Marnier,38.99,1000mL,1000,1,27.99,8112,MOET HENNESSY USA INC      
822,Tanqueray,26.99,1000mL,1000,1,19.99,3960,DIAGEO NORTH AMERICA INC   
824,Dewars White Label Scotch,26.99,1000mL,1000,1,20.76,480,BACARDI USA INC            
828,Bols Sloe Gin,9.99,1000mL,1000,1,7.74,6213,MHW LTD                    
831,Bols Green Creme De Menthe,9.99,1000mL,1000,1,7.46,6213,MHW LTD                    
836,Bols Creme de Cassis,9.99,1000mL,1000,1,7.8,6213,MHW LTD                    
838,Bols Cherry Flavored Brandy,10.99,1000mL,1000,1,7.96,6213,MHW LTD                    
854,Seagrams VO Canadian Whiskey,15.99,1000mL,1000,1,11.67,3960,DIAGEO NORTH AMERICA INC   
856,Chinaco Blanco Tequila,29.99,750mL,750,1,21.73,9165,ULTRA BEVERAGE COMPANY LLP 
857,Kahlua,21.99,1000mL,1000,1,16.17,17035,PERNOD RICARD USA          
858,Canadian Club,11.99,1000mL,1000,1,8.95,12546,JIM BEAM BRANDS COMPANY    
859,Beefeater Gin,22.99,1000mL,1000,1,17.29,17035,PERNOD RICARD USA          
870,Carpano Antica Formula,29.99,1000mL,1000,2,17.64,9165,ULTRA BEVERAGE COMPANY LLP 
876,DeKuyper Creme de Cacao Whit,8.99,1000mL,1000,1,6.66,12546,JIM BEAM BRANDS COMPANY    
883,Patron Burdeos Anejo Tequila,499.99,750mL,750,1,390.62,9165,ULTRA BEVERAGE COMPANY LLP 
892,Uncle Val's Botanical Gin,33.99,750mL,750,1,24.99,653,STATE WINE & SPIRITS   
903,Bombay Sapphire Gin,24.99,1000mL,1000,1,18.79,480,BACARDI USA INC            
934,Tanteo Jalapeno Tequila,35.99,750mL,750,1,26.08,9165,ULTRA BEVERAGE COMPANY LLP 
942,Glenmorangie Nectar D'Or,64.99,750mL,750,1,45.45,8112,MOET HENNESSY USA INC      
950,Mastersons 10 Yr Old Rye,79.99,750mL,750,1,58.82,653,STATE WINE & SPIRITS   
966,Patron Citronge Orange Liqu,20.99,750mL,750,1,16.15,9165,ULTRA BEVERAGE COMPANY LLP 
970,Prairie Organic Kosher Vodka,17.99,750mL,750,1,12.11,9206,PHILLIPS PRODUCTS CO.      
971,Sauza Extra Gold Tequila,15.99,1000mL,1000,1,11.42,12546,JIM BEAM BRANDS COMPANY    
973,Bacardi 1873 Solera Rum,19.99,750mL,750,1,11.9,480,BACARDI USA INC            
984,Patron XO Cafe Liqueur,25.99,750mL,750,1,20.63,9165,ULTRA BEVERAGE COMPANY LLP 
993,Three Olives S'Mores Vodka,14.99,750mL,750,1,8.33,7245,PROXIMO SPIRITS INC.       
999,Jameson 18 Year Old,114.99,750mL,750,1,89.84,17035,PERNOD RICARD USA          
1094,Four Roses Single Barrel Brb,40.99,750mL,750,1,29.92,9552,M S WALKER INC             
1099,Angel's Envy NH Blend Bourbn,45.99,750mL,750,1,33.33,480,BACARDI USA INC            
1106,Aberfeldy Single Cask,249.99,750mL,750,1,155.55,480,BACARDI USA INC            
1133,Glenmorangie Collection 4 Pk,31.99,100mL 4 Pk,100,1,23.01,8112,MOET HENNESSY USA INC      
1135,Rebel Reserve Bourbon,19.99,750mL,750,1,15.62,8352,LUXCO INC                  
1136,Malibu 50ml Sampler Pack,4.99,50mL 5 Pk,50,1,3.87,17035,PERNOD RICARD USA          
1174,Rebel Yell,19.99,1750mL,1750,1,15.87,8352,LUXCO INC                  
1178,Evan Williams Black Label B,10.99,750mL,750,1,7.83,3924,HEAVEN HILL DISTILLERIES   
1180,Evan Williams Black Label B,16.99,1750mL,1750,1,13.07,3924,HEAVEN HILL DISTILLERIES   
1186,Evan Williams Single Barrel,24.99,750mL,750,1,17.98,3924,HEAVEN HILL DISTILLERIES   
1202,Hennessy VS Chain VAP,31.99,750mL,750,1,19.28,8112,MOET HENNESSY USA INC      
1212,DiSaronna Amaretto Sour VAP,21.99,750mL,750,1,14.38,2555,DISARONNO INTERNATIONAL LLC
1220,Woodford Reserve Bourbon,29.99,750mL,750,1,21.89,1128,BROWN-FORMAN CORP          
1226,Lexington Bourbon,29.99,750mL,750,1,19.99,9625,WESTERN SPIRITS BEVERAGE CO
