VendorNumber,VendorName,Brand,Description,Classification,PurchaseQuantity,SalesQuantity,PurchaseCost,Revenue,GrossProfit,GrossMarginPct,AllocatedFreight,AdjustedProfit,AdjustedMarginPct,ExciseTax,AvgUnitCost,AvgUnitRevenue,ReferencePurchasePrice,ReferenceRetailPrice,VolumeML,AvgLeadDays,StockTurnover,SalesToPurchaseRatio,UnsoldQuantity,InventoryAtRisk,PurchaseLineCount,InvoiceCount,InvoiceValue,LeadDaySum,LeadDayCount,FreightCost
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,1,145080.0,142049.0,3811251.6,5101919.51,1290667.9099999997,25.297692514949137,19325.1454895912,1271342.7645104085,24.918910657420554,260999.19999999998,26.27,35.91661687164288,26.27,36.99,1750.0,7.442588092345079,0.9791080783016267,1.3386467348416462,3031.0,79624.37,6584.0,55.0,13529433.08,49002.0,6584.0,68601.68
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,1,201682.0,200412.0,3261197.94,4475972.88,1214774.94,27.139908408024134,16448.89715053752,1198326.0428494625,26.772415181600977,368242.8,16.169999999999998,22.333856655290102,16.17,22.99,1750.0,7.343519338647771,0.9937029581221923,1.3724934709114895,1270.0,20535.899999999998,6774.0,55.0,50959796.85,49745.0,6774.0,257032.07
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,1,138109.0,135838.0,3023206.0100000002,4223107.62,1199901.6099999999,28.41276420040652,15248.50856595871,1184653.101434041,28.05169103017178,249587.83,21.89,31.089294748155893,21.89,29.99,1750.0,7.364685425229212,0.9835564662693959,1.3968970708681543,2271.0,49712.19,6326.0,55.0,50959796.85,46589.0,6326.0,257032.07
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,1,187407.0,187140.0,3418303.68,4538120.6,1119816.9199999995,24.67578583081286,17539.246213058625,1102277.6737869408,24.289298829716884,343854.07,18.240000000000002,24.249869616330017,18.24,24.99,1750.0,7.385106672102188,0.9985752933454993,1.3275943347432488,267.0,4870.080000000001,7359.0,55.0,24124091.56,54347.0,7359.0,123780.22
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,1,164038.0,160247.0,3804041.22,4819073.49,1015032.27,21.062809523579187,19787.6296286234,995244.6403713766,20.65219886014597,294438.66,23.19,30.072784451502994,23.19,28.99,1750.0,7.557792806640024,0.9768895012131336,1.2668299871892554,3791.0,87913.29000000001,6506.0,82.0,27861690.02,49171.0,6506.0,144929.24
480,BACARDI USA INC,3858,Grey Goose Vodka,1,138809.0,141860.0,2466635.93,3383912.4,917276.4699999997,27.106980369822804,12496.141006534222,904780.3289934655,26.737699504084844,111699.19,17.77,23.85388693077682,17.77,23.99,750.0,7.62077660110943,1.0219798428055817,1.3718734730341822,0.0,0.0,3966.0,55.0,17624378.72,30224.0,3966.0,89286.27
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,2,215668.0,214238.0,1460072.36,2326007.7800000003,865935.4200000002,37.2283974045865,7322.948572421114,858612.4714275791,36.91356833843346,24083.77,6.7700000000000005,10.857120492162922,6.77,10.99,750.0,7.081716738197425,0.9933694382105829,1.59307705818087,1430.0,9681.1,5825.0,55.0,3506668.63,41251.0,5825.0,17587.59
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,1,91835.0,90481.0,1903739.55,2640491.19,736751.6399999999,27.902067720968233,9602.12064262514,727149.5193573748,27.53841868934146,166244.44,20.73,29.18282501298615,20.73,27.99,1750.0,7.440079234070651,0.9852561659498013,1.3870023291789046,1354.0,28068.420000000002,6058.0,55.0,50959796.85,45072.0,6058.0,257032.07
480,BACARDI USA INC,2663,Dewars White Label,1,69001.0,70122.0,1478001.42,2189368.78,711367.3599999999,32.49189293728761,7487.653093652053,703879.7069063478,32.14989239530253,128839.08,21.419999999999998,31.222280881891557,21.42,29.99,1750.0,7.790251107828656,1.0162461413602701,1.4813035700601693,0.0,0.0,4739.0,55.0,17624378.72,36918.0,4739.0,89286.27
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,1,64249.0,65184.0,1396130.77,2068091.16,671960.3899999999,32.49181675337754,7041.833052436783,664918.5569475631,32.151317592187915,119767.49,21.73,31.72697533136966,21.73,33.99,1750.0,7.512671002466921,1.0145527556849134,1.4813018983887876,0.0,0.0,4459.0,55.0,50959796.85,33499.0,4459.0,257032.07
