VendorNumber,VendorName,BrandCount,CategoryCount,PurchaseQuantity,SalesQuantity,PurchaseCost,Revenue,GrossProfit,AllocatedFreight,AdjustedProfit,ExciseTax,InventoryAtRisk,UnsoldQuantity,PurchaseLineCount,InvoiceCount,AvgLeadDaysWeightedSum,AvgLeadDaysWeight,GrossMarginPct,AdjustedMarginPct,StockTurnover,SalesToPurchaseRatio,AvgLeadDays,RevenueSharePct,CostSharePct,PerformanceScore,PerformanceRank,PerformanceTier
1392,CONSTELLATION BRANDS INC,465,2,2325892.0,2301688.0,15573917.9,24469172.93,8895255.03,79528.99,8815726.04,692134.5,448592.83999999997,56429.0,185574.0,55.0,1435531.0,185574.0,36.352904348042465,36.02788727358918,0.9895936698694522,1.571163601035806,7.735625680321597,5.412779972493177,4.838111482698095,84.30232558139534,1,High Impact
9819,TREASURY WINE ESTATES,107,1,497770.0,495308.0,2978686.4,4740218.38,1761531.98,14836.57,1746695.41,75026.13,113562.25,10662.0,39772.0,55.0,290397.0,39772.0,37.16140985048879,36.84841646472836,0.9950539405749643,1.5913787970428843,7.301543799658051,1.048574840919564,0.9253430618891763,84.10852713178294,2,High Impact
8673,STE MICHELLE WINE ESTATES,143,1,419822.0,418674.0,3086650.7,4903385.9,1816735.2,15919.699999999999,1800815.5,46768.590000000004,117778.12,9728.0,28223.0,55.0,213978.0,28223.0,37.05062658845594,36.72595909695788,0.9972655077628138,1.5885781633794844,7.58168869361868,1.0846688228021542,0.9588826838972944,81.78294573643412,3,High Impact
1590,DIAGEO CHATEAU ESTATE WINES,103,2,187841.0,190779.0,1365472.83,2185030.89,819558.0599999999,7259.75,812298.3099999999,22930.13,62147.380000000005,6016.0,12356.0,55.0,91685.0,12356.0,37.50784777234888,37.17559846488028,1.015640887772105,1.600200928201552,7.4202816445451605,0.4833465959190858,0.42419061282808385,80.58139534883722,4,High Impact
480,BACARDI USA INC,172,2,1427075.0,1457301.0,17624378.72,25014556.89,7390178.169999999,89286.27,7300891.899999999,1365152.07,253049.19999999998,33555.0,91846.0,55.0,707242.0,91846.0,29.543510214863527,29.186572970711534,1.0211803864548115,1.4193156699256404,7.700302680574004,5.533423338104759,5.475096864396078,80.46511627906978,5,High Impact
2000,SOUTHERN WINE & SPIRITS NE,376,2,406875.0,400984.0,3740617.38,5769934.33,2029316.95,19016.59,2010300.36,51155.630000000005,239379.08000000002,17616.0,30064.0,67.0,226402.0,30064.0,35.17053806745839,34.84095736666729,0.985521351766513,1.5425085604451745,7.530667908461948,1.27635638006114,1.1620405356418415,80.34883720930232,6,High Impact
8112,MOET HENNESSY USA INC,119,2,427867.0,424251.0,9472995.2,13546931.06,4073935.86,48347.26,4025588.6,191770.03,382497.73,13308.0,29412.0,55.0,218571.0,29412.0,30.072758486452354,29.715871308198714,0.9915487756709445,1.430057840628907,7.431354549163607,2.9966912792713574,2.9428309014434917,80.0,7,Stable
9815,WINE GROUP INC,208,2,888385.0,869054.0,5258636.79,8341165.72,3082528.9299999997,27100.41,3055428.52,268202.73,126572.08,22014.0,106106.0,55.0,809959.0,106106.0,36.9556130818607,36.630713530530365,0.9782402899643735,1.5861840345889338,7.633489152357077,1.8451336661693467,1.633620467270965,79.14728682170544,8,Stable
1703,ALISA CARR BEVERAGES,17,1,438.0,1062.0,34951.68,118167.38,83215.7,172.0,83043.7,118.59,3533.3399999999997,52.0,63.0,19.0,429.0,63.0,70.42188800327128,70.27633175923846,2.4246575342465753,3.380878401267121,6.809523809523809,0.02613958508919618,0.010857905212636914,78.75968992248062,9,Stable
8892,TRINCHERO FAMILY ESTATES,147,2,352526.0,346725.0,2252211.31,3467869.81,1215658.5,11595.97,1204062.53,44031.4,68558.02,7788.0,33271.0,55.0,237217.0,33271.0,35.05490593950527,34.72052285607573,0.9835444761521136,1.5397621859913313,7.129842806047308,0.767120993769597,0.6996601285777626,78.56589147286822,10,Stable
